dataset,method,modality,split_unit,training_mode,deployment_type,seed_count,ci_mode,source_paths,protocol_caveat
PBMC strict L3,MOSAIC-N,RNA+ADT,cell,supervised multimodal neural classifier,ten-seed learned-HSR single-model mean,10,seed_t_ci,results/tables/mosaic_n_v30_learned_hsr_seed_metrics_2026-07-23.csv,primary architecture row; fixed cell split; no donor-disjoint claim
COVID-19 full,MOSAIC-N,RNA+ADT,cell,supervised multimodal neural classifier,three-seed RDV2 base-model mean,3,seed_t_ci,results/tables/mosaic_n_v21_full_covid_51class_full_protocol_metrics_2026-05-25.csv,not the learned-HSR variant; cell-level and not patient-disjoint
GSE164378 exact-L3,MOSAIC-N,RNA+ADT,cell,supervised multimodal neural classifier,fixed three-seed RDV2 majority ensemble,7372,cell_bootstrap_ci,results/exp_generalization/mosaic_n_v22/mosaic_seed41/predictions.csv;results/exp_generalization/mosaic_n_v22/mosaic_seed42/predictions.csv;results/exp_generalization/mosaic_n_v22/mosaic_seed43/predictions.csv,ensemble evidence; not a single learned-HSR model
COMBAT/COVID shift,MOSAIC-N,RNA+ADT,holdout seed and external cell,supervised multimodal neural classifier,fixed cross-method consensus on holdout seeds 44/45/46,3,seed_t_ci,results/exp_generalization/mosaic_n_v27_combat_parent_safe_sota_holdout_s44_s45_s46/aligned_predictions.csv,"consensus includes MOSAIC-N, scANVI and scNym and is not attributable to the base classifier"
PBMC strict L3,MLP / early fusion,RNA+ADT,cell,supervised early-fusion neural classifier,single model or fixed majority ensemble,15000,cell_bootstrap_ci,results/exp_generalization/original_mosaic_strict/l3_mlp_gene_protein_100k_cached_h512_128/predictions.csv,fixed strict cell split with train-only preprocessing
COVID-19 full,MLP / early fusion,RNA+ADT,cell,supervised early-fusion neural classifier,single model or fixed majority ensemble,3,seed_t_ci,results/tables/mosaic_n_v21_full_covid_51class_full_protocol_metrics_2026-05-25.csv,full 647366-cell closed-set split; patients overlap across splits
GSE164378 exact-L3,MLP / early fusion,RNA+ADT,cell,supervised early-fusion neural classifier,fixed three-seed majority ensemble,7372,cell_bootstrap_ci,results/exp_generalization/mosaic_n_v22/baselines_key_seed41/predictions.csv;results/exp_generalization/mosaic_n_v22/baselines_seed42/predictions.csv;results/exp_generalization/mosaic_n_v22/baselines_key_seed43/predictions.csv,compared to MOSAIC-N using paired fixed-ensemble predictions
COMBAT/COVID shift,MLP / early fusion,RNA+ADT,holdout seed and external cell,supervised early-fusion neural classifier,single model or fixed majority ensemble,3,seed_t_ci,results/tables/mosaic_n_v20_combat_seed_level_metrics_2026-05-25.csv,parent-safe disease-shift protocol; holdout seed sets must be reported
PBMC strict L3,RNA logistic,RNA,cell,supervised logistic regression,single model or seed mean,15000,cell_bootstrap_ci,results/exp_baseline_matrix/v25_pbmc_strict_rna_logistic_seed42/test_predictions.csv,fixed strict cell split with train-only preprocessing
COVID-19 full,RNA logistic,RNA,cell,supervised logistic regression,single model or seed mean,3,seed_t_ci,results/tables/mosaic_n_v21_full_covid_51class_full_protocol_metrics_2026-05-25.csv,full 647366-cell closed-set split; patients overlap across splits
